species,scientific_name,habitat,distribution,conservation_status,ecological_importance,description
Shoebill,Balaeniceps rex,Swamps,Africa,Vulnerable,Predator,"The Shoebill (Balaeniceps rex) also known as whalehead, whale-headed stork, or shoe-billed stork, is a very large stork-like bird. It derives its name from its enormous shoe-shaped bill. It has a somewhat stork-like form and has previously been classified with the storks in the order Ciconiiformes based on this morphology. However, genetic evidence places it with the pelicans and herons in the Pelecaniformes. The adult is mainly grey while the juveniles are browner. It lives in tropical East Africa in large swamps from South Sudan to Zambia. They are solitary and secretive birds, often standing motionless for long periods while waiting for prey, which primarily consists of lungfish, tilapia, and other small aquatic animals."
Wandering Albatross,Diomedea exulans,Southern Ocean,Southern Hemisphere,Vulnerable,Marine balance,"The Wandering Albatross (Diomedea exulans), also known as the snowy albatross, white-winged albatross or goonie, is a large seabird from the family Diomedeidae, which has a circumpolar range in the Southern Ocean. It was the first species of albatross to be described, and was long considered the same species as the Tristan albatross and the Antipodean albatross. The Wandering Albatross has the largest wingspan of any living bird, typically ranging from 2.51 to 3.5 m (8 ft 3 in to 11 ft 6 in), with a mean of 3.1 m (10 ft 2 in). This enormous wingspan allows the bird to glide for long periods over the ocean with minimal effort. It spends most of its life at sea, only returning to land to breed on subantarctic islands."
Emu,Dromaius novaehollandiae,Savannas,Australia,Least Concern,Seed disperser,"The Emu (Dromaius novaehollandiae) is the second-largest living bird by height, after its ratite relative, the ostrich. It is endemic to Australia where it is the largest native bird and the only extant member of the genus Dromaius. The emu's range covers most of mainland Australia, but the Tasmanian, Kangaroo Island and King Island subspecies became extinct after the European settlement of Australia in 1788. Emus are soft-feathered, brown, flightless birds with long necks and legs, and can reach up to 1.9 metres (6.2 ft) in height. Emus can travel great distances, and when necessary can sprint at 50 km/h (31 mph); they forage for a variety of plants and insects, but have been known to go for weeks without eating."
Southern Cassowary,Casuarius casuarius,Rainforests,"Australia, New Guinea",Least Concern,Seed disperser,"The Southern Cassowary (Casuarius casuarius), also known as the double-wattled cassowary, Australian cassowary, or two-wattled cassowary, is a large, flightless black bird. It is a ratite and therefore related to the emu, ostrich, rhea and kiwi. The Southern Cassowary is found in Indonesia, New Guinea, and northeastern Australia. It is the largest of all cassowaries and the third-tallest and second-heaviest living bird, smaller only than the ostrich and emu. The Southern Cassowary has stiff, bristly black plumage, a blue face and neck, with a red nape and two red wattles hanging from its throat. A horn-like brown casque sits on its head. This bird is known for being extremely dangerous due to its large, sharp inner claws which it uses for defense."
Kakapo,Strigops habroptilus,Forests,New Zealand,Critically Endangered,Biodiversity,"The Kakapo (Strigops habroptilus), also called the night parrot or owl parrot, is a species of large, flightless, nocturnal, ground-dwelling parrot of the superfamily Strigopoidea, endemic to New Zealand. It has finely blotched yellow-green plumage, a distinct facial disc, a large grey beak, short legs, large feet, and relatively short wings and tail. A combination of traits makes it unique among its kind; it is the world's only flightless parrot, the heaviest parrot, nocturnal, herbivorous, visibly sexually dimorphic in body size, has a low basal metabolic rate, and no male parental care, and is the only parrot to have a polygynous lek-based breeding system. It is also possibly one of the world's longest-living birds. It is critically endangered; the total known population is around 250 individuals."
Hoopoe,Upupa epops,Open country,Afro-Eurasia,Least Concern,Insect control,"The Hoopoe (Upupa epops) is a colourful bird found across Afro-Eurasia, notable for its distinctive 'crown' of feathers. It is the only extant species in the family Upupidae. One widespread species is currently accepted, though some authorities consider the African and Madagascan Hoopoes to be separate species. Like the Latin and Ancient Greek names, the English name is an onomatopoeic form which imitates the bird's call. The Hoopoe is a medium-sized bird, 25–32 cm (9.8–12.6 in) long, with a 44–48 cm (17.3–18.9 in) wingspan. It is highly distinctive, with a long, thin tapering bill that is black with a fawn base. The strengthened musculature of the head allows the bill to be opened when probing into the soil. The Hoopoe has broad and rounded wings capable of strong flight."
Piping Plover,Charadrius melodus,Beaches,North America,Near Threatened,Coastal health,"The Piping Plover (Charadrius melodus) is a small sandpiper that nests and feeds along coastal sand and gravel beaches in North America and on the shorelines of the Great Lakes. The adult has sand-colored upperparts with a white underside, a black band around the neck, and a black stripe across the forehead. It is about 17–18 cm (6.7–7.1 in) long and weighs 43–63 g (1.5–2.2 oz). The name 'piping' refers to its melodic call. It is a migratory bird that winters in the southern United States, the Caribbean, and Mexico. The Piping Plover is listed as near threatened by the IUCN and is considered an endangered or threatened species in many parts of its range due to habitat loss and disturbance."
Little Penguin,Eudyptula minor,Coasts,"Australia, New Zealand",Least Concern,Marine balance,"The Little Penguin (Eudyptula minor) is the smallest species of penguin. It grows to an average of 33 cm (13 in) in height and 43 cm (17 in) in length, though specific measurements vary by subspecies. It is found on the coastlines of southern Australia and New Zealand, with possible records from Chile. In Australia, they are often called Little Blue Penguins or Fairy Penguins because of their slate-blue plumage. In New Zealand, they are more commonly known as Little Blue Penguins or by their Māori name: korora. Little Penguins spend the day at sea foraging for small fish, cephalopods, and crustaceans, and return to their burrows on land at dusk. They are social birds and often return to the shore in small groups called 'rafts'."
Black Swan,Cygnus atratus,Wetlands,Australia,Least Concern,Aquatic vegetation control,"The Black Swan (Cygnus atratus) is a large waterbird, a species of swan which breeds mainly in the southeast and southwest regions of Australia. Within Australia they are nomadic, with erratic migration patterns dependent upon climatic conditions. Black Swans are large birds with mostly black plumage and red bills. They are monogamous breeders, and are unusual among swans in that they often share incubation duties between the male and female. The species has a long, graceful neck which it uses to reach aquatic plants under the surface of the water. Black Swans were once thought to be impossible by Europeans until they were discovered in Australia in 1697. They are now widely introduced to parks and gardens around the world."
Great Blue Heron,Ardea herodias,Wetlands,North America,Least Concern,Fish predator,"The Great Blue Heron (Ardea herodias) is a large wading bird in the heron family Ardeidae, common throughout most of North and Central America, as well as the far north of South America, the Galápagos Islands, and the Caribbean. It is a conspicuous inhabitant of a wide range of wetlands, where it can often be seen standing motionless at the water's edge or flying with slow, rhythmic wing beats. It is the largest North American heron, with a head-to-tail length of 91–137 cm (36–54 in), a wingspan of 167–201 cm (66–79 in), and a weight of 1.82–3.6 kg (4.0–7.9 lb). The plumage is primarily blue-gray, with a white head and a black stripe ending in a long plume behind the eye. It feeds primarily on fish, but also eats frogs, reptiles, and small mammals."
Whooping Crane,Grus americana,Wetlands,North America,Endangered,Biodiversity,"The Whooping Crane (Grus americana) is the tallest North American bird. It is an endangered crane species named for its whooping sound. Along with the sandhill crane (Antigone canadensis), it is one of only two crane species native to North America. The Whooping Crane's lifespan is estimated to be 22 to 24 years in the wild. After being pushed to the brink of extinction by unregulated hunting and loss of habitat, the population has slowly increased due to conservation efforts. In 1941, only 21 wild whooping cranes remained. Today, the population has grown to several hundred, thanks to captive breeding programs and the establishment of new migratory and non-migratory flocks. They are known for their white plumage, black wingtips, and red crowns."
African Grey Parrot,Psittacus erithacus,Rainforests,Africa,Endangered,Seed disperser,"The African Grey Parrot (Psittacus erithacus) is an Old World parrot in the family Psittacidae. The species is endemic to equatorial Africa, including Angola, Cameroon, the Congo, Gabon, Ivory Coast, Ghana, Kenya, and Uganda. The bird is found within a primary range from Kenya to the eastern part of the Ivory Coast. Between 120,000 and 150,000 African greys are currently estimated to exist in the wild. The African Grey is a medium-sized, predominantly grey, black-billed parrot. It has a typical weight of 400 g (14 oz), with an approximate length of 33 cm (13 in) and a wingspan of 46–52 cm (18–20 in). It is highly intelligent and is one of the most popular avian pets in Europe, the United States, and the Middle East due to its ability to mimic human speech."
Kea,Nestor notabilis,Mountains,New Zealand,Endangered,Scavenger,"The Kea (Nestor notabilis) is a species of large parrot in the family Nestoridae found in the forested and alpine regions of the South Island of New Zealand. About 48 cm (19 in) long, it is mostly olive-green with a brilliant orange under its wings and has a large, narrow, curved, grey-brown upper bill. The Kea is the world's only alpine parrot. Its omnivorous diet includes carrion, but consists mainly of roots, leaves, berries, nectar, and insects. Now rare, the Kea was once killed for a bounty because it was believed to attack livestock, especially sheep. It is highly intelligent and curious, known for its ability to solve puzzles and its tendency to investigate (and occasionally damage) human property."
Mallard,Anas platyrhynchos,Wetlands,Northern Hemisphere,Least Concern,Biodiversity,"The Mallard (Anas platyrhynchos) is a dabbling duck that breeds throughout the temperate and subtropical Americas, Eurasia, and North Africa, and has been introduced to New Zealand, Australia, Peru, Brazil, Uruguay, Argentina, Chile, Colombia, the Falkland Islands, and South Africa. This duck belongs to the subfamily Anatinae of the waterfowl family Anatidae. The male birds (drakes) have a glossy green head and are grey on the wings and belly, while the females (hens or ducks) have mainly brown-speckled plumage. Both sexes have an area of white-bordered black or iridescent blue feathers called a speculum on their wings; males especially tend to have blue speculum feathers. The Mallard is the ancestor of most breeds of domestic ducks."
Barn Owl,Tyto alba,"Farmland, forests",Worldwide,Least Concern,Rodent control,"The Barn Owl (Tyto alba) is the most widely distributed species of owl in the world and one of the most widespread of all birds, being found almost everywhere in the world except for the polar and desert regions, Asia north of the Himalayas, most of Indonesia, and some Pacific Islands. The Barn Owl is a pale, long-winged, long-legged owl with a distinctive heart-shaped face. It belongs to the family Tytonidae, one of the two main lineages of living owls, the other being the typical owls (Strigidae). Barn owls specialize in hunting animals on the ground and nearly all of their food consists of small mammals which they locate by sound, their hearing being very acute. They are nocturnal over most of their range."
Green-winged Macaw,Ara chloropterus,Rainforests,South America,Least Concern,Seed disperser,"The Red-and-green Macaw (Ara chloropterus), also known as the Green-winged Macaw, is a large, mostly-red macaw of the genus Ara. This is the largest of the Ara genus, widespread in the forests and woodlands of northern and central South America. However, in common with other macaws, in recent years there has been a marked decline in its numbers due to habitat loss and illegal capture for the parrot trade. It is easily distinguished from the Scarlet Macaw by the green feathers on its wings and the red lines on its white face. Like many parrots, they are social birds and often seen in pairs or small groups. They feed on nuts, seeds, and fruit."
Superb Lyrebird,Menura novaehollandiae,Forests,Australia,Least Concern,Biodiversity,"The Superb Lyrebird (Menura novaehollandiae) is an Australian passerine bird, one of two species from the family Menuridae. It is one of the world's largest songbirds and is renowned for its elaborate tail and excellent mimicry. The species is endemic to Australia and is found in the forest of the southeast of the country. The Superb Lyrebird is most famous for its extraordinary ability to mimic almost any sound it hears, from other bird species to human-made sounds like chainsaws and camera shutters. The male has a spectacular tail which it displays during courtship rituals. The tail consists of sixteen feathers, with the two outermost being shaped like a lyre."
Roseate Spoonbill,Platalea ajaja,Wetlands,Americas,Least Concern,Filter feeder,"The Roseate Spoonbill (Platalea ajaja) is a gregarious wading bird of the ibis and spoonbill family, Threskiornithidae. It is a resident breeder in South America mostly east of the Andes, and in coastal regions of the Caribbean, Central America, Mexico, and the Gulf Coast of the United States. Like the American flamingo, its pink color is diet-derived, consisting of the carotenoid pigment canthaxanthin. Unlike the wood stork, the roseate spoonbill does not avoid heavily forested areas. It has a distinctive spoon-shaped bill which it sweeps through shallow water to catch small fish, crustaceans, and other aquatic invertebrates. They are social birds, often seen in large groups."
Golden Eagle,Aquila chrysaetos,Mountains,Northern Hemisphere,Least Concern,Apex predator,"The Golden Eagle (Aquila chrysaetos) is one of the best-known birds of prey in the Northern Hemisphere. It is the most widely distributed species of eagle. Like all eagles, it belongs to the family Accipitridae. These birds are dark brown, with lighter golden-brown plumage on their napes. Immature eagles of this species typically have white on the tail and often have white markings on the wings. Golden Eagles use their agility and speed combined with extremely powerful feet and massive, sharp talons to snatch up a variety of prey, mainly hares, rabbits, and marmots and other ground squirrels. They have been known to defend their territories and nests against much larger animals and even small aircraft."
Malachite Kingfisher,Corythornis cristatus,Rivers,Africa,Least Concern,Insect hunter,"The Malachite Kingfisher (Corythornis cristatus) is a river kingfisher which is widely distributed in Africa south of the Sahara. It is a resident in most of its range, but some populations move in response to changes in water levels. This is a very small kingfisher, about 13 cm (5.1 in) in length. The general colour of the upper parts of the adult bird is bright metallic blue. The head has a short crest of black and blue feathers, which gives rise to the scientific name. The face, cheeks, and underparts are rufous, and there are white patches on the throat and rear neck sides. The bill is black in young birds and reddish-orange in adults. It feeds on small fish, crustaceans, and aquatic insects."
European Bee-eater,Merops apiaster,Open country,"Europe, Africa, Asia",Least Concern,Bee predator,"The European Bee-eater (Merops apiaster) is a near passerine bird in the bee-eater family, Meropidae. It breeds in southern Europe and in parts of North Africa and western Asia. It is strongly migratory, wintering in tropical Africa. This species occurs as a spring overshoot north of its range, with occasional breeding in northwest Europe. It is a richly coloured, slender bird. It has brown and yellow upperparts, whilst the wings are green and the beak is black. It can reach a length of 27–29 cm (10.6–11.4 in), including the two elongated central tail feathers. As the name suggests, bee-eaters predominantly eat insects, especially bees, wasps, and hornets. They catch insects in flight, in sorties from an open perch."
Horned Puffin,Fratercula corniculata,Coastal cliffs,North Pacific,Least Concern,Marine balance,"The Horned Puffin (Fratercula corniculata) is an auk, similar in appearance to the Atlantic Puffin; its bill is yellow at the base and red at the tip. It is a pelagic seabird that feeds primarily by diving for fish. It nests in colonies, often with other auks. It is found in the North Pacific Ocean, including the coasts of Alaska, Siberia, and British Columbia. The name 'horned' comes from a small black fleshy 'horn' found above the eyes of adult birds in the breeding season. Like other puffins, it has a large, brightly colored bill during the breeding season which it sheds in the winter. They are social birds and spend most of their time at sea when not breeding."
Red-headed Woodpecker,Melanerpes erythrocephalus,Woodlands,North America,Least Concern,Insect control,"The Red-headed Woodpecker (Melanerpes erythrocephalus) is a small or medium-sized woodpecker from temperate North America. Their breeding habitat is open country across southern Canada and the eastern-central United States. Adults are very strikingly tri-colored, with a black back and tail and a white belly and rump. Their head and neck are bright crimson red. Their wings are black with white secondary feathers. Adult males and females are identical in plumage. Juveniles have very similar markings, but have greyish brown heads. These woodpeckers are known for their unusual habit of caching food, such as nuts and insects, in crevices and cracks in trees. They are also highly aerial and frequently catch insects in mid-air."
Tufted Titmouse,Baeolophus bicolor,Deciduous forests,North America,Least Concern,Seed disperser,"The Tufted Titmouse (Baeolophus bicolor) is a small songbird from North America, a species in the tit and chickadee family (Paridae). The black-crested titmouse, found from central and southern Texas southwards, was included as a subspecies but is now considered a separate species, Baeolophus atricristatus. These birds have grey upperparts and white underparts with a white face, a grey crest, a dark forehead, and a short stout bill. They are common in deciduous and mixed forests as well as gardens and parks in the eastern United States. Tufted Titmice are social birds and often join mixed-species foraging flocks. They eat a variety of insects, seeds, and berries."
Swallow-tailed Kite,Elanoides forficatus,"Wetlands, forests",Americas,Least Concern,Insect scavenger,"The Swallow-tailed Kite (Elanoides forficatus) is a perptiline bird of prey which breeds from the southeastern United States to eastern Peru and northern Argentina. It is the only species in the genus Elanoides. Most North and Central American breeders winter in South America where the species is resident year-round. This is a very graceful bird with a deeply forked tail, making it one of the most distinctive raptors in flight. The plumage is a striking contrast of black and white. They are often seen soaring over wetlands and forests, catching insects, small reptiles, and amphibians in mid-air or plucking them from the canopy. They are highly social, especially during migration and around nesting sites."
Greater Roadrunner,Geococcyx californianus,Deserts,"Southwestern USA, Mexico",Least Concern,Rattlesnake predator,"The Greater Roadrunner (Geococcyx californianus) is a long-legged bird in the cuckoo family, Cuculidae, from the Southwestern United States and Mexico. The Latin name means 'Californian Earth-cuckoo'. Along with the lesser roadrunner, it is one of two species in the roadrunner genus Geococcyx. This roadrunner is also known as the chaparral cock, ground cuckoo, and snake killer. It is a large, slender, black-brown and white-streaked ground bird with a distinctive crest and a long tail. It is famous for its speed and ability to kill rattlesnakes. While it can fly, it spends most of its time on the ground and can run at speeds of up to 32 km/h (20 mph). It inhabits arid and semi-arid regions."
Indian Peafowl,Pavo cristatus,Forests,South Asia,Least Concern,Cultural icon,"The Indian Peafowl (Pavo cristatus), also known as the Common Peafowl, and Blue Peafowl, is a large and brightly coloured bird, is a species of peafowl native to the Indian subcontinent, but introduced to many other parts of the world. The male peafowl is predominantly blue with a fan-like crest of spatula-tipped wire-like feathers and is best known for the long train made up of elongated upper-tail covert feathers which bear colourful eyespots. These stiff feathers are raised into a fan and quivered in a display during courtship. Despite the length and size of these covert feathers, peacocks are still capable of flight. Peahens lack the train, and have a greenish lower neck and duller brown plumage."
Common Loon,Gavia immer,Lakes,North America,Least Concern,Fish predator,"The Common Loon (Gavia immer), also known as the Great Northern Diver, is a large member of the loon, or diver, family of birds. Adults can range from 61–100 cm (24–39 in) in length with a 122–152 cm (48–60 in) wingspan. The species is found across North America and parts of Europe and Asia. In the breeding season, adults have a black head, white underparts, and a checkered black-and-white mantle. Non-breeding plumage is brownish-grey. Their bill is black-blue and held horizontally. Common Loons are famous for their haunting, yodel-like calls heard on northern lakes. They are excellent swimmers and divers, often staying underwater for long periods while hunting fish. They are the state bird of Minnesota and appear on the Canadian one-dollar coin."
Pileated Woodpecker,Dryocopus pileatus,Forests,North America,Least Concern,Decomposer assistant,"The Pileated Woodpecker (Dryocopus pileatus) is a large, mostly black woodpecker native to North America. Inhabiting deciduous forests in eastern North America, the Great Lakes, the boreal forests of Canada, and parts of the Pacific Coast, it is the largest woodpecker in the United States, following the probably extinct ivory-billed woodpecker. It is about 40 to 49 cm (16 to 19 in) long and weighs 250 to 400 g (8.8 to 14.1 oz). It is characterized by its large size and its bright red crest. The name 'pileated' refers to the bird's prominent crest, from the Latin pileatus meaning 'capped'. They are known for digging large, rectangular holes in trees while searching for carpenter ants and other insects."
House Sparrow,Passer domesticus,Urban areas,Worldwide,Least Concern,Urban biodiversity,"The House Sparrow (Passer domesticus) is a bird of the sparrow family Passeridae, found in most parts of the world. It is a small bird that has a typical length of 16 cm (6.3 in) and a mass of 24–39.5 g (0.85–1.39 oz). Females and young birds are coloured pale brown and grey, and males have brighter black, white, and brown markings. One of about 25 species in the genus Passer, the house sparrow is native to most of Europe, the Mediterranean Basin, and a large part of Asia. Its intentional or accidental introduction to many regions, including parts of Australasia, Africa, and the Americas, makes it the most widely distributed wild bird. The House Sparrow is strongly associated with human habitation and can thrive in urban or rural settings."
Cedar Waxwing,Bombycilla cedrorum,Woodlands,North America,Least Concern,Fruit disperser,"The Cedar Waxwing (Bombycilla cedrorum) is a member of the waxwing family of passerine birds. It is a medium-sized bird, approximately 15–18 cm (5.9–7.1 in) long and weighing about 30 g (1.1 oz). Its name comes from its appetite for the cones of the eastern red cedar and the red waxy secretions on the tips of its wing feathers. The plumage is a blend of brown, gray, and yellow. It has a distinctive crest and an orange or yellow-tipped tail. Cedar Waxwings are highly social birds and are often seen in large, noisy flocks. They are primary fruit eaters, although they also eat insects during the breeding season. They are found across North America, breeding in open woodlands and wintering further south into Central America."
Anna's Hummingbird,Calypte anna,"Gardens, woodlands",North America coastal,Least Concern,Pollinator,"Anna's Hummingbird (Calypte anna) is a medium-sized hummingbird native to the west coast of North America. It was named after Anna Masséna, Duchess of Rivoli. In the early 20th century, Anna's hummingbird bred only in northern Baja California and southern California. The transplanting of exotic ornamental plants in residential areas throughout the Pacific coast and inland deserts allowed the species to expand its breeding range. Adult males have a brilliant iridescent reddish-pink throat and crown, while females are primarily green with some spotted gray underparts. Using their long tongues, they consume nectar from flowers and also catch small insects. They are known for their spectacular courtship dives by the males."
Black-capped Chickadee,Poecile atricapillus,Forests,North America,Least Concern,Pest control,"The Black-capped Chickadee (Poecile atricapillus) is a small, North American songbird, a passerine bird in the tit family Paridae. It is the state bird of Massachusetts and Maine in the United States, and the provincial bird of New Brunswick in Canada. It is notable for its capacity to lower its body temperature during cold winter nights and its good memory for where it has stored food. These birds have a black cap and bib with white cheeks, a grey back, and buffy flanks. They are common in deciduous and mixed forests, as well as suburban gardens. Chickadees are very vocal and have a complex range of calls, the most famous being the 'chick-a-dee-dee-dee' which they use to communicate with their group."
American Goldfinch,Spinus tristis,"Fields, gardens",North America,Least Concern,Seed disperser,"The American Goldfinch (Spinus tristis) is a small North American bird in the finch family. It is migratory, ranging from mid-Alberta to North Carolina during the breeding season, and from just south of the Canada–United States border to Mexico during the winter. The only finch in its subfamily to undergo a complete molt, the American goldfinch displays sexual dimorphism in its coloration; the male is a vibrant yellow in the summer and an olive color during the winter, while the female is a dull yellow-brown shade year-round that brightens only slightly during the summer. The American Goldfinch is a granivore and adapted for the consumption of seedheads, with a conical beak to remove the seeds and agile feet to grip the stems of seedheads while feeding."
Common Starling,Sturnus vulgaris,Various,Worldwide,Least Concern,Insect control,"The Common Starling (Sturnus vulgaris), also known as the European Starling or simply the Starling in the British Isles, is a medium-sized passerine bird in the starling family, Sturnidae. It is about 20 cm (8 in) long and has glossy black plumage with a metallic sheen, which is speckled with white at some times of year. The legs are pink and the bill is black in winter and yellow in summer; young birds have browner plumage than the adults. It is a noisy bird, being a highly social species with a wide variety of both melodic and mechanical-sounding calls. Its gift for mimicry has been noted in literature since antiquity. The common starling has about 12 subspecies breeding in temperate habitats across its native range in temperate Europe and western Asia."
Barn Swallow,Hirundo rustica,Open country,Worldwide,Least Concern,Aerial insectivore,"The Barn Swallow (Hirundo rustica) is the most widespread species of swallow in the world. It is a distinctive passerine bird with blue upperparts and a long, deeply forked tail. It is found in Europe, Asia, Africa and the Americas. In the Anglosphere it is known as the barn swallow; in northern Europe it is just called the swallow. It is the most common swallow in the world with a huge range. These birds are highly aerial and spend most of their time flying, catching insects on the wing. They build cup-shaped nests from mud pellets in caves or buildings (hence the name). Barn swallows are migratory, breeding in the Northern Hemisphere and wintering in the Southern Hemisphere. They are often associated with rural areas and farms."
Mountain Bluebird,Sialia currucoides,"Mountains, open meadows",Western North America,Least Concern,Insect control,"The Mountain Bluebird (Sialia currucoides) is a medium-sized bird weighing about 30 g (1.1 oz) with a length from 15–20 cm (5.9–7.9 in). They have light underparts and black eyes. Adult males have thin bills and are bright turquoise-blue and somewhat lighter underneath. Adult females have duller blue wings and tail, grey breast, grey crown, throat and back. In breeding season, the males' plumage is particularly vibrant. The Mountain Bluebird is migratory, found in western North America. They inhabit open country, including grasslands and sagebrush, often at higher elevations. They feed on insects and berries. They are secondary cavity nesters, meaning they use holes in trees that were previously made by woodpeckers or other animals."
Eastern Screech-Owl,Megascops asio,"Woodlands, suburbs",Eastern North America,Least Concern,Nocturnal predator,"The Eastern Screech-Owl (Megascops asio) is a small owl that is relatively common in Eastern North America, from Mexico to Canada. It is mostly nocturnal, although it is sometimes active at dusk and dawn. This species is native to most grassy or wooded environments, and has adapted well to man-made development, although it avoids intensive agriculture. Eastern Screech-Owls are actually quite small, only 16 to 25 cm (6.3 to 9.8 in) tall. They come in two color morphs: gray and rufous (reddish-brown). Both morphs have complex patterns of streaks and bars that provide excellent camouflage against tree bark. Like many owls, they have 'ear' tufts which are actually just feathers and not related to their hearing. They hunt a variety of insects and small mammals."
Ovenbird,Seiurus aurocapilla,Deciduous forests,North and Central America,Least Concern,Ground insectivore,"The Ovenbird (Seiurus aurocapilla) is a small songbird of the New World warbler family (Parulidae). This bird is common and widespread in North America, breeding in deciduous and mixed forests. It is an unusual warbler because it spends most of its time on the forest floor rather than in the trees. The Ovenbird gets its name from its unique nest, which is built on the ground and covered with a dome of leaves and grass, making it look like a Dutch oven. The bird is olive-brown above and white with black streaks below, with an orange patch on its crown bordered by black. They are known for their loud, ringing 'teacher-teacher-teacher' song. They are migratory, wintering in Florida, Central America, and the Caribbean."
Magnificent Frigatebird,Fregata magnificens,Tropical oceans,Americas,Least Concern,Marine scavenger,"The Magnificent Frigatebird (Fregata magnificens) is a seabird in the frigatebird family Fregatidae. With a length of 89–114 cm (35–45 in) and a wingspan of 217–244 cm (85–96 in), it is the largest species of frigatebird. It occurs over tropical and subtropical waters off America, between northern Mexico and Peru on the Pacific coast and between Florida and southern Brazil on the Atlantic coast. It also breeds in the Cape Verde Islands. This bird is all black except for a white patch on the breast of the female and immature birds. The male has a spectacular red throat pouch (gular sac) which it inflates during the breeding season to attract mates. They are agile fliers and are known for kleptoparasitism, stealing food from other seabirds."
Brown Pelican,Pelecanus occidentalis,Coasts,Americas,Least Concern,Fish predator,"The Brown Pelican (Pelecanus occidentalis) is a bird of the pelican family, Pelecanidae, one of the three species found in the Americas and one of two that feed by diving in water. It is found on the Atlantic Coast from New Jersey and the mouth of the Amazon River, and on the Pacific Coast from British Columbia to northern Chile, including the Galápagos Islands. The Brown Pelican is a large bird with a long bill and a large throat pouch used for catching fish. It is primarily brown and grey, with a white head and neck in the non-breeding season. They are famous for their dramatic plunge-dives from high in the air to catch fish near the surface. They are social birds and often nest in large colonies on islands."
Common Eider,Somateria mollissima,Coasts,Northern Hemisphere,Near Threatened,Marine balance,"The Common Eider (Somateria mollissima) is a large sea-duck that is distributed over the northern coasts of Europe, North America and eastern Siberia. It breeds in Arctic and some northern temperate regions, but winters somewhat farther south in temperate zones, when it can form sizeable flocks on coastal waters. It can fly at speeds up to 113 km/h (70 mph). The eider's nest is built close to the sea and is lined with eiderdown, plucked from the female's breast. This soft and warm lining has long been harvested for filling pillows and quilts, but in more recent years, this has been largely replaced by down from domestic farm-geese and synthetic alternatives. Male eiders have a striking black and white plumage, while females are brown and barred."
Wilson's Snipe,Gallinago delicata,Wetlands,North America,Least Concern,Soil invertebrate control,"Wilson's Snipe (Gallinago delicata) is a small, stocky shorebird in the family Scolopacidae. It was formerly considered a subspecies of the Common Snipe (G. gallinago). It is found in North America and breeds in marshes, bogs, and wet meadows across Canada and the northern United States. It is a migratory bird, wintering in the southern United States and Central America. The bird is mottled brown, black, and white with a very long bill used for probing the mud for worms and other invertebrates. They are known for their secretive nature and their 'winnowing' display flight during the breeding season, which produces a ghostly, whistling sound as air passes through their tail feathers. They are often seen in wet, marshy areas."
Killdeer,Charadrius vociferus,Open fields,Americas,Least Concern,Insect control,"The Killdeer (Charadrius vociferus) is a medium-sized plover. The genus name Charadrius is a Late Latin word for a yellowish bird mentioned in the fourth-century Vulgate. It derives from Ancient Greek kharadrios a bird found in ravines and river valleys. The specific vociferus is Latin and means 'noisy, clamorous'. The Killdeer is a common and widespread bird throughout North America. It is easily identified by its two black breast bands and its loud, repetitive 'kill-dee' call. One of its most famous behaviors is the 'broken-wing act', where an adult will pretend to have a broken wing to lure predators away from its nest or chicks. Killdeers are often found in open areas such as fields, lawns, and parking lots as well as near water."
Trumpeter Swan,Cygnus buccinator,Wetlands,North America,Least Concern,Aquatic vegetation control,"The Trumpeter Swan (Cygnus buccinator) is a species of swan native to North America. It is the heaviest living bird native to North America and is the largest extant species of waterfowl in the world, with a wingspan that can exceed 3 m (10 ft). It is the North American counterpart of the Whooper Swan of Eurasia. By 1933, fewer than 70 wild trumpeter swans were known to exist, and extinction seemed nearly certain. However, aerial surveys discovered a large population in Alaska, and conservation efforts have since helped the population recover to over 46,000 birds. The Trumpeter Swan is all white with a black bill and black feet. Its name comes from its loud, trumpet-like call. They inhabit large, shallow ponds and wide, slow-moving rivers."
Canada Goose,Branta canadensis,"Wetlands, parks",North America,Least Concern,Grazing,"The Canada Goose (Branta canadensis) is a large wild goose with a black head and neck, white cheeks, white under its chin, and a brown body. Native to arctic and temperate regions of North America, its migration occasionally reaches northern Europe. It has been introduced to the United Kingdom, Ireland, New Zealand, Argentina, Chile, and the Falkland Islands. Like most geese, the Canada goose is primarily herbivorous and normally migratory; it tends to be found on or near fresh water. This species is highly adaptable and has thrived in human-altered landscapes, often being seen in parks, golf courses, and suburban areas. They are known for their V-shaped flight formations during migration and their loud honking. They are very protective of their nests and young."
Wild Turkey,Meleagris gallopavo,"Forests, fields",North America,Least Concern,Seed disperser,"The Wild Turkey (Meleagris gallopavo) is an upland ground bird native to North America and is the ancestor of the domestic turkey, which was originally derived from a southern Mexican subspecies of wild turkey. It is one of the two extant species of turkey. Adults are large birds with long, reddish-yellow to grey-green legs. Their feathers are generally dark brown, appearing iridescent with shades of green, copper, and bronze. Males, called toms or gobblers, have a large, fan-like tail and a fleshy protuberance called a snood that hangs from the beak. They are known for their 'gobble' call. Wild turkeys inhabit forests with openings and are capable of short, fast flights, although they spend most of their time on the ground."
